,MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|SE3
346,15.01.2023 10:00 - 15.01.2023 11:00,17.83,EUR,
347,15.01.2023 11:00 - 15.01.2023 12:00,11.7,EUR,
348,15.01.2023 12:00 - 15.01.2023 13:00,6.93,EUR,
349,15.01.2023 13:00 - 15.01.2023 14:00,6.04,EUR,
350,15.01.2023 14:00 - 15.01.2023 15:00,6.09,EUR,
351,15.01.2023 15:00 - 15.01.2023 16:00,19.1,EUR,
352,15.01.2023 16:00 - 15.01.2023 17:00,27.43,EUR,
353,15.01.2023 17:00 - 15.01.2023 18:00,30.9,EUR,
354,15.01.2023 18:00 - 15.01.2023 19:00,27.61,EUR,
355,15.01.2023 19:00 - 15.01.2023 20:00,25.9,EUR,
356,15.01.2023 20:00 - 15.01.2023 21:00,12.47,EUR,
357,15.01.2023 21:00 - 15.01.2023 22:00,20.79,EUR,
358,15.01.2023 22:00 - 15.01.2023 23:00,31.04,EUR,
359,15.01.2023 23:00 - 16.01.2023 00:00,32.38,EUR,
360,16.01.2023 00:00 - 16.01.2023 01:00,35.35,EUR,
361,16.01.2023 01:00 - 16.01.2023 02:00,36.13,EUR,
362,16.01.2023 02:00 - 16.01.2023 03:00,36.13,EUR,
363,16.01.2023 03:00 - 16.01.2023 04:00,38.57,EUR,
364,16.01.2023 04:00 - 16.01.2023 05:00,41.81,EUR,
365,16.01.2023 05:00 - 16.01.2023 06:00,45.59,EUR,
366,16.01.2023 06:00 - 16.01.2023 07:00,66.81,EUR,
367,16.01.2023 07:00 - 16.01.2023 08:00,86.63,EUR,
368,16.01.2023 08:00 - 16.01.2023 09:00,89.34,EUR,
369,16.01.2023 09:00 - 16.01.2023 10:00,90.96,EUR,
370,16.01.2023 10:00 - 16.01.2023 11:00,98.73,EUR,
371,16.01.2023 11:00 - 16.01.2023 12:00,99.38,EUR,
372,16.01.2023 12:00 - 16.01.2023 13:00,90.0,EUR,
373,16.01.2023 13:00 - 16.01.2023 14:00,109.9,EUR,
374,16.01.2023 14:00 - 16.01.2023 15:00,136.86,EUR,
375,16.01.2023 15:00 - 16.01.2023 16:00,141.17,EUR,
376,16.01.2023 16:00 - 16.01.2023 17:00,146.14,EUR,
377,16.01.2023 17:00 - 16.01.2023 18:00,129.91,EUR,
378,16.01.2023 18:00 - 16.01.2023 19:00,88.91,EUR,
379,16.01.2023 19:00 - 16.01.2023 20:00,80.04,EUR,
380,16.01.2023 20:00 - 16.01.2023 21:00,65.91,EUR,
381,16.01.2023 21:00 - 16.01.2023 22:00,59.69,EUR,
382,16.01.2023 22:00 - 16.01.2023 23:00,51.24,EUR,
383,16.01.2023 23:00 - 17.01.2023 00:00,46.52,EUR,
384,17.01.2023 00:00 - 17.01.2023 01:00,47.13,EUR,
385,17.01.2023 01:00 - 17.01.2023 02:00,42.94,EUR,
386,17.01.2023 02:00 - 17.01.2023 03:00,42.15,EUR,
387,17.01.2023 03:00 - 17.01.2023 04:00,40.8,EUR,
388,17.01.2023 04:00 - 17.01.2023 05:00,41.62,EUR,
389,17.01.2023 05:00 - 17.01.2023 06:00,45.75,EUR,
390,17.01.2023 06:00 - 17.01.2023 07:00,60.17,EUR,
391,17.01.2023 07:00 - 17.01.2023 08:00,70.87,EUR,
